Bolid{tempEngine=98.48636016682237, tirePressure=21.84475966607589, oilPressure=333.1337179708551}
Bolid{tempEngine=96.40940111462339, tirePressure=19.656913099109886, oilPressure=205.59978788511128}
Bolid{tempEngine=98.02080695038933, tirePressure=21.285077982323774, oilPressure=196.43378693911762}
Bolid{tempEngine=90.9994049184217, tirePressure=23.294611546870044, oilPressure=358.6722509031147}
Bolid{tempEngine=100.29049044517515, tirePressure=21.01518936894061, oilPressure=367.87997321524824}
Bolid{tempEngine=90.95661725200273, tirePressure=19.942128540986804, oilPressure=395.904141057439}
Bolid{tempEngine=90.54760870062576, tirePressure=20.75277223263321, oilPressure=324.3279894384819}
Bolid{tempEngine=98.76724732815438, tirePressure=23.140317000138857, oilPressure=318.42301250037707}
Bolid{tempEngine=99.88722224350322, tirePressure=20.46290647985407, oilPressure=327.0297124290665}
Bolid{tempEngine=97.70265879366323, tirePressure=21.038905715120375, oilPressure=226.7736468286983}
Bolid{tempEngine=102.61209881603854, tirePressure=21.067529710688472, oilPressure=229.20003888696192}
Bolid{tempEngine=97.21057341083035, tirePressure=20.78960510163254, oilPressure=392.88654354263076}
Bolid{tempEngine=91.85933058613531, tirePressure=20.28832462430337, oilPressure=265.39243401137645}
Bolid{tempEngine=91.65242190424307, tirePressure=19.09665958412643, oilPressure=226.98356033805283}
Bolid{tempEngine=92.28864133194863, tirePressure=21.801035011140907, oilPressure=403.42476513206464}
Bolid{tempEngine=102.52366003100015, tirePressure=20.856948504587017, oilPressure=356.2730570690576}
Bolid{tempEngine=103.35755099210031, tirePressure=20.118906729799658, oilPressure=290.5182326011642}
Bolid{tempEngine=95.05783606088534, tirePressure=23.505187959832746, oilPressure=255.99581846977762}
Bolid{tempEngine=92.52725082993294, tirePressure=22.129905906371327, oilPressure=376.7266191246576}
Bolid{tempEngine=95.37165747825443, tirePressure=23.791286865170555, oilPressure=374.1018599235613}
Bolid{tempEngine=91.00723679322016, tirePressure=22.041006587646454, oilPressure=218.19698106239912}
Bolid{tempEngine=94.78340075070182, tirePressure=23.40348381162571, oilPressure=365.2464168535572}
Bolid{tempEngine=97.84971757517329, tirePressure=21.849060581759957, oilPressure=208.79231376268928}
Bolid{tempEngine=102.61566601134547, tirePressure=21.588533384426746, oilPressure=312.8892616590225}
Bolid{tempEngine=93.9990089067731, tirePressure=23.362874403536967, oilPressure=247.84307198413433}
Bolid{tempEngine=92.77046145568488, tirePressure=21.012116152614215, oilPressure=323.34161986459924}
Bolid{tempEngine=97.60911675187685, tirePressure=19.16557217042545, oilPressure=400.63019835259354}
Bolid{tempEngine=98.58047745006738, tirePressure=22.496741008682868, oilPressure=295.95003045042597}
Bolid{tempEngine=91.22846782464393, tirePressure=21.530493655534205, oilPressure=360.4207689436704}
Bolid{tempEngine=100.86197030147937, tirePressure=21.225567954835803, oilPressure=340.64700953475415}
Bolid{tempEngine=100.5466966964371, tirePressure=21.403559744421276, oilPressure=296.6008491577512}
Bolid{tempEngine=102.09497720140264, tirePressure=22.998064737923237, oilPressure=249.98028707687652}
Bolid{tempEngine=90.69318156920437, tirePressure=23.71545489277412, oilPressure=406.65959210735866}
Bolid{tempEngine=103.51490676021356, tirePressure=22.14085826695984, oilPressure=255.5854660275787}
Bolid{tempEngine=103.61558983301097, tirePressure=19.67266855609347, oilPressure=374.5654632427841}
Bolid{tempEngine=93.30146738173075, tirePressure=23.42254888207557, oilPressure=283.2552613812396}
Bolid{tempEngine=97.05020907931251, tirePressure=21.34137973635487, oilPressure=249.8893664436435}
Bolid{tempEngine=99.58816980350377, tirePressure=23.487017894001234, oilPressure=302.13101078400524}
Bolid{tempEngine=93.88171935773777, tirePressure=20.935657267977895, oilPressure=275.93033374898965}
Bolid{tempEngine=100.68636077089229, tirePressure=22.83262613739224, oilPressure=243.681440179024}
Bolid{tempEngine=93.29198275179844, tirePressure=22.2641952985057, oilPressure=241.0060399211943}
Bolid{tempEngine=103.62616055111522, tirePressure=23.635806486029768, oilPressure=286.6077591397556}
Bolid{tempEngine=93.685308936704, tirePressure=19.89986432955452, oilPressure=400.0112037821226}
Bolid{tempEngine=99.17337506725653, tirePressure=20.89240766794934, oilPressure=358.42395616267333}
Bolid{tempEngine=99.77767560318856, tirePressure=23.79519605891851, oilPressure=191.70942372132865}
Bolid{tempEngine=90.10321527359505, tirePressure=22.558633309841177, oilPressure=383.49373332399966}
Bolid{tempEngine=97.93195113317857, tirePressure=21.365337005826888, oilPressure=272.0055707997359}
Bolid{tempEngine=97.32151922031733, tirePressure=21.979790921832034, oilPressure=198.7804012715938}
Bolid{tempEngine=99.44896684569194, tirePressure=21.948207260072934, oilPressure=214.50251536603866}
Bolid{tempEngine=90.9514462299425, tirePressure=22.747959368380403, oilPressure=399.48920432526614}
Bolid{tempEngine=91.68384834444949, tirePressure=19.812107982302116, oilPressure=234.3910519011883}
Bolid{tempEngine=93.96342317105778, tirePressure=21.203302117129052, oilPressure=308.00956236268985}
Bolid{tempEngine=97.36449592274477, tirePressure=22.743532545249955, oilPressure=225.6372053747448}
Bolid{tempEngine=103.10353037848587, tirePressure=19.8710486445374, oilPressure=378.29314727796657}
Bolid{tempEngine=103.20912121362174, tirePressure=19.337478498392077, oilPressure=209.76332045619108}
Bolid{tempEngine=101.69551021833566, tirePressure=19.70940394439229, oilPressure=367.9560243998574}
Bolid{tempEngine=101.35210858876684, tirePressure=23.494626078806288, oilPressure=198.7812376499226}
Bolid{tempEngine=97.92638482348649, tirePressure=21.429459248554053, oilPressure=337.4042148171494}
Bolid{tempEngine=100.20717884231446, tirePressure=21.594231440513084, oilPressure=389.4445843822846}
Bolid{tempEngine=93.08453977545027, tirePressure=22.196740815808234, oilPressure=275.6586264940032}
Bolid{tempEngine=90.81536540728567, tirePressure=21.349020990195932, oilPressure=370.11076494766206}
Bolid{tempEngine=90.57191520467859, tirePressure=19.720617622512773, oilPressure=407.738786132307}
Bolid{tempEngine=102.85002514780692, tirePressure=21.659702619019257, oilPressure=292.0028213388348}
Bolid{tempEngine=93.65065971052019, tirePressure=21.937498210143463, oilPressure=360.0971940676884}
Bolid{tempEngine=100.01983126022404, tirePressure=22.987794506164008, oilPressure=240.979856462331}
Bolid{tempEngine=97.50414887718622, tirePressure=20.654450303230696, oilPressure=259.7632391316305}
Bolid{tempEngine=97.44426871430761, tirePressure=19.697409847497727, oilPressure=393.26834853000764}
Bolid{tempEngine=102.15429084387057, tirePressure=23.879154060996587, oilPressure=321.58240124447303}
Bolid{tempEngine=101.26380144324075, tirePressure=22.122045081773535, oilPressure=291.5874950738485}
Bolid{tempEngine=102.01019553635841, tirePressure=21.682047779772475, oilPressure=325.57877292263333}
Bolid{tempEngine=98.78675362338363, tirePressure=20.468054455324665, oilPressure=342.05275470719346}
Bolid{tempEngine=100.84120983325741, tirePressure=23.579857715267426, oilPressure=252.69474479101282}
Bolid{tempEngine=101.27124703615915, tirePressure=20.23350719483833, oilPressure=281.4802549885907}
Bolid{tempEngine=97.93998776339589, tirePressure=20.46848042496533, oilPressure=400.74996127740985}
Bolid{tempEngine=97.80388032062503, tirePressure=22.494992457921754, oilPressure=232.79244957270055}
Bolid{tempEngine=92.49477236494832, tirePressure=20.798850735346356, oilPressure=363.5498299310881}
Bolid{tempEngine=93.38398359004086, tirePressure=19.075576935716157, oilPressure=268.1788489521107}
Bolid{tempEngine=96.7069304459884, tirePressure=20.822814365193, oilPressure=254.40899085394494}
Bolid{tempEngine=99.37628621080775, tirePressure=19.36876346235199, oilPressure=357.2645488976788}
Bolid{tempEngine=101.10857403217611, tirePressure=22.537309252978705, oilPressure=281.5437829466101}
Bolid{tempEngine=103.98500601181584, tirePressure=21.05459089778247, oilPressure=338.5395404818002}
Bolid{tempEngine=93.65083579029525, tirePressure=20.23392771628648, oilPressure=215.54567866422107}
Bolid{tempEngine=101.76423471613182, tirePressure=22.437962406570175, oilPressure=275.6916595579167}
Bolid{tempEngine=97.397136587088, tirePressure=22.98612043345792, oilPressure=206.54992681982054}
Bolid{tempEngine=92.75486409590593, tirePressure=19.983273005176237, oilPressure=199.73984775722835}
Bolid{tempEngine=93.67507518000721, tirePressure=23.75623945823795, oilPressure=323.44516494860204}
Bolid{tempEngine=94.37522565184254, tirePressure=21.365181573752427, oilPressure=337.1899780519932}
Bolid{tempEngine=95.07900709459453, tirePressure=22.216986706285166, oilPressure=341.0740467840882}
Bolid{tempEngine=91.34536030618227, tirePressure=19.039079915249452, oilPressure=364.0249542429327}
Bolid{tempEngine=93.19291473919095, tirePressure=23.603717762475497, oilPressure=254.5056756679894}
Bolid{tempEngine=100.75401567357356, tirePressure=21.72694886651802, oilPressure=205.62133661117778}
Bolid{tempEngine=102.89595563119967, tirePressure=21.551888883835264, oilPressure=224.1303756716933}
Bolid{tempEngine=103.84978609632898, tirePressure=20.06975010669961, oilPressure=252.5671161185606}
Bolid{tempEngine=91.85355963276822, tirePressure=22.643542998420955, oilPressure=247.15796631266022}
Bolid{tempEngine=94.62640895901221, tirePressure=22.00553271321882, oilPressure=228.48525590808626}
Bolid{tempEngine=100.67374896941031, tirePressure=21.36331568853044, oilPressure=407.5741638119707}
Bolid{tempEngine=95.05633083697924, tirePressure=23.666680330998098, oilPressure=332.9748612882572}
Bolid{tempEngine=91.26647304612128, tirePressure=23.032560770343252, oilPressure=282.316189945739}
